Название мебели,Цена со скидкой,Стандартная цена,Ссылка
Диван прямой Филс-Мини 140 Velvet Terra,33990,48 990,https://www.divan.ruhttps://www.divan.ru/product/divan-pryamoj-fils-mini-140-velvet-terra
Кресло Орхет Velvet Marsala,17990,25 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-orhet-velvet-marsala
Пуф Дзен Лес,6990,—,https://www.divan.ruhttps://www.divan.ru/product/puf-dzen-les
Диван прямой Массе-М Мини Velvet Navy Blue,49990,58 990,https://www.divan.ruhttps://www.divan.ru/product/divan-pryamoj-masse-m-mini-velvet-navy-blue
Кресло Рофл Velvet Silver,22990,27 290,https://www.divan.ruhttps://www.divan.ru/product/kreslo-rofl-velvet-silver
Диван прямой Спейс Velvet Olive,68990,92 990,https://www.divan.ruhttps://www.divan.ru/product/divan-spejs-velvet-olive
Кресло Нелви Cozy Terra,26990,29 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-nelvi-cozy-terra
Диван прямой Мелоу Velvet Beige,56990,71 990,https://www.divan.ruhttps://www.divan.ru/product/divan-pryamoj-melou-velvet-beige
Кресло Данго Bucle White,46990,—,https://www.divan.ruhttps://www.divan.ru/product/kreslo-dango-bucle-white
Пуф Кропс Bucle Lilac,9990,11 990,https://www.divan.ruhttps://www.divan.ru/product/puf-krops-bucle-lilac
Диван прямой Клаймар Velvet Terra,63990,85 990,https://www.divan.ruhttps://www.divan.ru/product/divan-klajmar-velvet-terra
Кресло Тут Рядом Мечта Сине-бежевое,19990,—,https://www.divan.ruhttps://www.divan.ru/product/kreslo-tut-ryadom-mechta-sine-bejevoe
Диван прямой Аронт Мини Velvet Pink,57990,72 990,https://www.divan.ruhttps://www.divan.ru/product/divan-pryamoj-aront-mini-velvet-pink
Диван прямой Лонди Cozy Ecru,54990,64 990,https://www.divan.ruhttps://www.divan.ru/product/divan-londi-cozy-ecru
Пуф Дзен-1 Диалог,9990,—,https://www.divan.ruhttps://www.divan.ru/product/puf-dzen-1-dialog
Диван угловой Нордика мини Velvet Olive,59990,79 990,https://www.divan.ruhttps://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-olive
Кресло Пайл Textile Ginger,27990,30 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-pajl-textile-ginger
Диван прямой Льери Мини Velvet Yellow,64990,92 990,https://www.divan.ruhttps://www.divan.ru/product/divan-leri-mini-velvet-yellow
Кресло Кенсол Velvet Blue,19990,22 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-kensol-velvet-blue
Кресло Грейн Textile Olive,12990,17 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-grejn-textile-olive
Диван угловой Онте Bucle Silver,109990,129 990,https://www.divan.ruhttps://www.divan.ru/product/divan-uglovoj-onte-bucle-silver
Кресло Витио Velvet Yellow,23990,27 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-vitio-velvet-yellow-new
Диван прямой Эби Velvet Coral,66990,103 990,https://www.divan.ruhttps://www.divan.ru/product/divan-ebi-velvet-coral
Пуф Корк Velvet Moss,11990,12 990,https://www.divan.ruhttps://www.divan.ru/product/puf-kork-velvet-moss
Кресло Бринт Soft Terra,17990,24 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-brint-soft-terra
Диван модульный Риббл-1 Bucle Mint,78980,—,https://www.divan.ruhttps://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint
Кресло Пайпел-2 Bucle Forest,42990,50 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-pajpel-2-bucle-forest
Диван прямой Виена Velvet Smoke,64990,86 990,https://www.divan.ruhttps://www.divan.ru/product/divan-viena-time-grey
Диван прямой Види Textile Navy Blue,26990,41 990,https://www.divan.ruhttps://www.divan.ru/product/divan-vidi-textile-navy-blue
Диван угловой Аллаум Linia Stone,58990,73 990,https://www.divan.ruhttps://www.divan.ru/product/divan-uglovoj-allaum-linia-stone
Кресло Ансил Bucle Milk,32990,38 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-ansil-bucle-milk
Диван угловой Аронт Мини Velvet Olive,59990,74 990,https://www.divan.ruhttps://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-olive
Диван модульный Brera-8 Bucle Beige,163970,—,https://www.divan.ruhttps://www.divan.ru/product/modulnyj-divan-brera-8-bucle-beige
Диван угловой Клаймар Velvet Stone,66990,89 990,https://www.divan.ruhttps://www.divan.ru/product/divan-uglovoj-klajmar-velvet-stone
Диван прямой Сваут Velvet Mustard,69990,87 990,https://www.divan.ruhttps://www.divan.ru/product/divan-svaut-velvet-mustard
Диван прямой Инес Vertical Blue,44990,73 990,https://www.divan.ruhttps://www.divan.ru/product/divan-ines-vertical-blue
Диван прямой Лави Velvet Moss,44990,65 990,https://www.divan.ruhttps://www.divan.ru/product/divan-lavi-velvet-moss
Кресло Ланси Wool Yellow,12990,46 990,https://www.divan.ruhttps://www.divan.ru/product/kreslo-lansi-wool-yellow
