Название вакансии,Компания,Зарплата,Ссылка
"C# разработчик, senior/lead","C# разработчик, senior/lead",,https://tomsk.hh.ru/vacancy/118654794?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Инженер-программист,,https://tomsk.hh.ru/vacancy/126633427?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик C/C++ для DSP,Программист-разработчик C/C++ для DSP,,https://tomsk.hh.ru/vacancy/126633661?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Backend. NET/С# (Middle),Программист Backend. NET/С# (Middle),,https://tomsk.hh.ru/vacancy/126702173?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-программист/разработчик (WordPress),Web-программист/разработчик (WordPress),,https://tomsk.hh.ru/vacancy/126673975?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,,https://tomsk.hh.ru/vacancy/126723401?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Инженер-программист,,https://tomsk.hh.ru/vacancy/126719914?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист (обслуживание комплексов фотовидеофиксации нарушений ПДД),Программист (обслуживание комплексов фотовидеофиксации нарушений ПДД),,https://tomsk.hh.ru/vacancy/126457405?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Программист C#,Middle Программист C#,,https://tomsk.hh.ru/vacancy/126599942?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Vue.js Developer Junior,Frontend Vue.js Developer Junior,,https://tomsk.hh.ru/vacancy/126711649?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++,Разработчик C/С++,,https://tomsk.hh.ru/vacancy/124756156?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Инженер-программист,,https://tomsk.hh.ru/vacancy/125458077?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Middle),Backend-разработчик (Middle),,https://tomsk.hh.ru/vacancy/126607470?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,,https://tomsk.hh.ru/vacancy/110191921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
